"post_id","name","cluster","x","y","z"
"2305","air one's dirty linen in public","66","22.693588260","-8.451986313","-6.104593754"
"2307","air out","56","-15.034629820","-36.281860350","-3.653683662"
"2309","air rage","52","6.516400337","-18.706548690","40.597530360"
"2311","alarums and excursions","75","3.316693306","0.098549128","24.190702440"
"2313","albatross around one's neck","13","-12.597682000","-31.774534230","29.258102420"
"2315","albatross round one's neck","49","-12.990859030","-31.544090270","28.677623750"
"2317","a life of its own","29","3.031379938","-13.015771870","-12.445212360"
"2319","a little bird told me","2","12.028518680","3.061700583","-19.009410860"
"2321","a little bit of bread and no cheese","8","41.304885860","4.763405323","-12.554274560"
"2323","a little from column A, a little from column B","69","18.633327480","6.439865589","-34.324283600"
"2325",NULL,"8","31.479812620","12.882411000","-13.875161170"
"2933","a little of something goes a long way","8","31.479812620","12.882411000","-13.875161170"
"2935","alive and kicking","85","3.734211445","-39.393341060","13.749118800"
"2937","all and sundry","21","11.952684400","19.965929030","-28.040367130"
"2939","all over oneself","52","2.183322191","21.175428390","11.640147210"
"2941","all along","45","-35.724220280","22.584831240","-19.008531570"
"2943","all-a-mort","3","-21.527713780","22.073816300","24.741104130"
"2945","all and some","21","12.193468090","21.011125560","-26.209508900"
"2947","all at once","43","-31.351371770","7.776780605","-26.718622210"
"2949","all bark and no bite","35","37.599006650","3.083165407","-4.669311523"
"2951","all bedlam breaks loose","75","3.210521460","-3.154544353","27.677261350"
"2953","all bets are off","33","7.460080147","12.263126370","-38.315357210"
"2955","all dressed up and nowhere to go","42","-4.604092598","39.753414150","0.568139613"
"2957","all duck or no dinner","44","-2.626669407","30.936220170","5.355601311"
"2327","all ears","20","-7.298531532","10.931715970","-6.781485558"
"2329","all ends up","38","-14.440094950","20.825359340","-23.713514330"
"2331","all eyes","20","-6.360490322","10.763064380","-4.482619762"
"2333","all eyes and ears","20","-6.938588142","10.756160740","-5.581481934"
"2335","all fur coat and no knickers","60","36.046936040","2.612550974","-8.770357132"
"2337","all good","27","8.743508339","24.811775210","-12.937088010"
"2339","all hat and no cattle","35","36.743442540","4.618379116","-7.878304482"
"2341","all hat and no cowboy","35","36.015682220","4.853526115","-8.129657745"
"2343","all heart","6","10.083057400","7.759934902","1.206927180"
"2345","all hell breaks loose","75","2.738879681","-3.197906971","27.041587830"
"2959","all holiday","86","-42.302547450","4.732707024","3.798498631"
"2961","all hollow","42","34.202548980","8.638763428","-4.323603153"
"2963","all it's cracked up to be","44","-11.546593670","52.451915740","7.412160397"
"2965","all kidding aside","27","36.153053280","26.430746080","-16.309871670"
"2967","all mouth and no trousers","35","34.831443790","2.767445803","-6.106606960"
"2969","all mouth and trousers","35","35.085624690","2.692264080","-7.128929138"
"2971","all of a heap","10","-12.413332940","41.291008000","-5.059452057"
"2973","all one's life's worth","21","-8.336838722","34.635437010","-24.208152770"
"2975","all one's taste is in one's mouth","67","26.931135180","-29.027820590","10.196681020"
"2977","all out","85","-12.996780400","8.353978157","-37.068637850"
"2979","all over","21","-8.656844139","41.347980500","-5.861752510"
"2981","all over bar the shouting","38","-11.435025220","29.430809020","-31.592443470"
"2983","all over but the shouting","38","-11.036062240","29.617816930","-32.246437070"
"2985","all over hell's half acre","75","-10.885804180","42.472652440","-6.150435925"
"2987","all over the board","10","-8.364860535","43.307758330","-4.802223206"
"2989","all over the map","10","-9.687257767","42.893589020","-4.163643360"
"2991","all over the place","10","-9.740243912","41.760417940","-4.440417290"
"2993","all over with","78","-8.380044937","40.621162410","-6.947156906"
"2995","all rights reserved","19","6.768554688","20.423007970","-21.846990590"
"2997","all roads lead to Rome","25","-15.719991680","2.247009516","-26.737266540"
"2999","all set","27","-11.474653240","17.756277080","-37.220863340"
"3001","all sixes and nines","10","-14.177759170","48.000160220","15.594026570"
"3003","all sizzle and no steak","42","36.043720250","6.195322990","-5.603080750"
"3005","all talk and no cider","35","35.039497380","4.076514244","-5.225674152"
"3007","all that","21","6.584469318","21.448875430","20.695037840"
"3009","all that jazz","26","20.541662220","21.150047300","-21.098272320"
"3011","all the marbles","38","-7.914732456","13.194256780","-34.219589230"
"3013","all the rage","86","-24.752861020","16.755916600","4.598922729"
"3015","all there","40","8.836176872","22.578426360","-10.747968670"
"3017","all the same","27","15.379587170","16.710088730","-25.237262730"
"3019","all the tea in China","21","38.315406800","18.356599810","-12.694802280"
"3021","all the way to Egery and back","25","-16.720281600","6.801187992","-35.620323180"
"3023","all the while","45","-35.755409240","21.667360310","-18.871044160"
"3025","all things considered","7","-16.928482060","20.837654110","-20.515121460"
"3027","all things to all people","21","9.755671501","19.511405940","-28.041683200"
"3029","all thumbs","10","24.392589570","-39.838756560","13.661942480"
"3031","all told","21","23.279006960","4.594455242","-19.215175630"
"3033","all to smash","78","7.304914951","-4.732048035","21.258811950"
"3035","all very well","27","7.456221581","23.550754550","-14.460971830"
"3037","all wet","78","2.086528063","-17.462333680","13.873101230"
"3039","almighty dollar","73","35.599216460","3.695080519","-19.845705030"
"3041","along about","22","-31.567138670","20.233821870","-24.249469760"
"3043","amateur hour","14","-29.765144350","41.748764040","-2.443511009"
"3045","amber gambler","33","11.002370830","-9.100639343","-29.456441880"
"3047","amber light","72","-18.292839050","26.541677470","1.201798081"
"3049","amber nectar","41","46.184993740","-12.758166310","-14.557505610"
"3051","American Dream","0","9.404390335","36.091861720","6.080719948"
"3053","anaconda mortgage","65","2.365602493","-7.876467705","11.074440960"
"3055","an apple a day","41","16.580581670","10.989805220","-11.770189290"
"3057","an arm and a leg","73","33.230342860","7.001365662","-24.004184720"
"3059","ancient history","64","-30.373863220","25.871326450","-5.568261147"
"3061","and all","47","9.686285019","21.437253950","-25.221603390"
"3063","and all this","21","18.669851300","21.934043880","-20.934267040"
"3065","and change","8","36.699810030","8.794881821","-14.596013070"
"3067","and counting","45","20.546201710","19.696439740","-35.617942810"
"3069","and crap","60","35.362148280","12.728324890","15.622423170"
"3071","and finally","38","-17.816911700","23.241582870","-24.997453690"
"3073","and his mother","40","22.390264510","29.410203930","20.508161540"
"3075","and how","47","33.082721710","33.789916990","-1.793437719"
"3077","and I don't mean maybe","47","12.635665890","28.071441650","-6.773148060"
"3079","and shit","47","35.815654750","12.113437650","15.107674600"
"3081","and so forth","47","17.183479310","22.527315140","-19.662708280"
"3083","and so on","47","17.073488240","21.825227740","-20.284845350"
"3085","and such","47","17.317499160","21.042881010","-18.524627690"
"3087","and the like","47","17.247894290","19.788053510","-19.017450330"
"3089","and then some","21","13.103010180","21.494882580","-24.861654280"
"3091","and whatnot","47","19.181751250","22.641042710","-18.174106600"
"3093","angel's advocate","74","30.426467900","13.880901340","4.242714882"
"3095","angle for farthings","79","39.985862730","10.543364520","-16.106279370"
"3097","a notch above","51","-5.165602207","12.372636800","27.139776230"
"3099","another day, another dollar","45","-29.928205490","35.542739870","-15.412616730"
"3101","another nail in someone's coffin","28","-23.616136550","27.774105070","-33.378490450"
"3103","another string to one's bow","46","10.412533760","-16.314888000","-9.740620613"
"3105","an ounce of prevention is better than a pound of cure","7","-45.718822480","2.858409166","-23.735639570"
"3107","answer on a postcard","47","-13.271438600","27.777174000","-40.618331910"
"3109","answer the call of nature","30","46.086608890","-13.929222110","18.034229280"
"3111","anybody who is anybody","87","9.064139366","23.956090930","29.051401140"
"3113","any more for any more","73","0.851392806","33.389408110","-33.962173460"
"3115","any nook or cranny","26","27.385812760","9.575336456","-43.183406830"
"3117","any old","27","23.985584260","20.361474990","-11.457927700"
"3119","any old nook or cranny","26","27.349372860","8.399326324","-42.794021610"
"3121","any old thing","26","24.034692760","19.616312030","-11.703507420"
"3123","anyone's guess","44","17.447551730","22.814287190","-4.758013725"
"3125","any port in a storm","1","-12.410576820","30.968006130","-8.352533340"
"3127","anything goes","27","6.477144718","26.886774060","-29.824279790"
"3129","any time now","22","-32.067539220","15.240481380","-21.075574870"
"3131","any time soon","22","-31.291297910","15.547874450","-21.406755450"
"3133","ape leader","74","43.837074280","-21.556982040","-11.740994450"
"3135","apothecary's Latin","14","25.186012270","-0.391900331","-23.227312090"
"3137","a pound to a penny","8","34.254913330","9.932599068","-26.330392840"
"2347","appetite comes with eating","41","30.681566240","-26.793653490","7.650207043"
"2349","apple of someone's eye","23","15.254131320","18.831811900","20.820747380"
"2351","apples and oranges","69","14.145250320","13.060617450","-11.416993140"
"2353","apply oneself","29","-11.801539420","0.953392982","-8.276198387"
"2355","apron string","14","24.460651400","-29.691999440","-20.829790120"
"2357","apron-string hold","65","23.940900800","-30.233001710","-20.990592960"
"2359","arch doxy","74","13.483366010","18.711072920","36.905368800"
"2361","are you deaf","2","23.534481050","40.645233150","3.245864391"
"2363","are your ears burning","4","10.943600650","-6.676887035","11.346127510"
"2365","arm candy","23","38.283393860","-12.647529600","-6.052465439"
"2367","armchair quarterback","14","-28.495424270","22.997442250","36.063095090"
"2369","arm's length","18","-21.378978730","-8.066280365","-49.367473600"
"2371","arm to the teeth","37","-21.585779190","-29.809890750","10.131782530"
"2373","arm up","59","-29.840133670","-34.985774990","-5.500353336"
"2375","army volunteer","71","12.835968020","-32.126945500","-22.374288560"
"2377","a Roland for an Oliver","55","8.631968498","-4.239488602","2.558647156"
"2379","around Robin Hood's barn","13","-36.271698000","-15.001456260","-7.248971939"
"2381","around the clock","45","-38.511875150","18.541610720","-18.691761020"
"2383","around the corner","22","-29.461336140","16.936464310","-23.607814790"
"2385","around the Horn","88","-35.240337370","-15.318602560","-5.751632690"
"2387","arrive at","89","-11.811168670","3.493082523","-20.079162600"
"2389","arrow in the quiver","7","11.856618880","-17.037757870","-9.958955765"
"2391","arse end of nowhere","88","-7.754747868","41.815879820","2.916256189"
"2393","arse over tip","10","4.152725220","-23.613372800","29.350173950"
"2395","arse over tit","10","4.124058247","-23.621955870","30.114788060"
"2397","arsy varsy","10","1.368501782","5.485141277","23.429826740"
"2399","arsy versy","10","1.094701648","6.199810982","23.668773650"
"2401","artful dodger","14","-11.732383730","-23.085449220","-6.458870888"
"2403","as all get-out","78","11.972283360","41.097930910","15.874531750"
"2405","as a rule","12","19.714445110","26.416587830","-31.225641250"
"2407","as a whole","21","16.561660770","22.662878040","-32.254314420"
"2409","as best one can","46","-8.371643066","3.079782248","-38.277988430"
"2410","as ever","40","-36.154796600","-1.149022818","22.412813190"
"2412","as ever trod shoe-leather","40","8.833162308","-34.734878540","-26.349929810"
"2414","as far as I can throw you","44","18.153982160","38.327198030","-12.795958520"
"2416","as far as one knows","47","18.141096120","36.898426060","-13.597887040"
"2418","as God intended","12","11.152081490","22.461280820","5.094388962"
"2420","a short drop and a sudden stop","3","-30.233263020","2.801043034","1.891324401"
"2422","as if","44","10.939636230","36.986392970","-3.018628359"
"2424","as if someone owns the place","19","12.120285990","-27.157112120","-23.272079470"
"2426","as if there were no tomorrow","22","-32.817195890","12.621692660","-14.142732620"
"2428","as in","47","13.451550480","23.686717990","-20.339651110"
"2430","as is","27","2.451039791","25.021877290","-21.746431350"
"2432","as it happens","22","-6.991676331","14.887310980","-22.568532940"
"2434","as I was saying","47","11.078847890","25.579927440","-20.961235050"
"2436","ask after","2","30.086555480","40.039680480","-6.649128914"
"2438","ask around","89","-1.488093376","-2.063183308","-23.849483490"
"2440","ask for it","4","30.486206050","40.092407230","-10.304758070"
"2442","ask for the moon","13","30.905626300","41.122348790","-11.233059880"
"2444","asking for a friend","2","29.083251950","40.098514560","-9.069264412"
"2446","ask my arse","4","39.145950320","11.396110530","6.784218788"
"2448","ask out","16","6.994088173","1.513744473","-38.622184750"
"2450","ask round","2","-1.571904182","-1.518801212","-24.416181560"
"2452","asleep at the switch","10","-55.044357300","1.150477529","7.184519291"
"2454","as long as","45","-22.080614090","21.736278530","-16.085186000"
"2456","as luck may have it","84","2.352213621","28.398574830","-4.135862827"
"2458","as luck would have it","84","3.126594543","28.101682660","-4.075418949"
"2460","as of","22","-27.199863430","21.723880770","-11.466611860"
"2462","as of late","22","-27.904111860","22.854187010","-10.366034510"
"2464","as often as not","22","23.119462970","23.330711360","-29.487283710"
"2466","asphalt jungle","75","5.873968124","25.308853150","-48.706680300"
"2468","assault and battery","48","10.671588900","-32.644252780","14.129759790"
"2470","ass-backwards","55","-48.314102170","-3.389561653","-10.138659480"
"2472","as soon as","43","-30.890167240","12.278715130","-21.561426160"
"2474","ass over teakettle","10","2.598108768","-22.842090610","29.798233030"
"2476","assume the position","16","-30.058673860","-19.743755340","14.968478200"
"2478","as the crow flies","88","-22.034667970","40.625503540","-28.455814360"
"2480","as the day is long","64","-34.535305020","28.925201420","-12.254781720"
"2482","as the gull flies","25","-21.663070680","41.199909210","-28.280601500"
"2484","as the next girl","23","21.420722960","30.555847170","31.033838270"
"2486","as the next guy","40","21.491310120","31.250120160","31.331310270"
"2488","as the wind blows","33","8.334391594","-7.776005745","-19.264596940"
"2490","as they come","27","3.408790350","24.459489820","-23.778760910"
"2492","as well","47","15.927775380","25.147546770","-22.620712280"
"2494","as yet","22","-24.427892680","19.902038570","-12.128993030"
"2496","as you know","47","17.569049840","35.170661930","-12.640914920"
"2498","at the top of one's voice","85","19.271652220","-11.748070720","-21.268644330"
"2500","at a canter","24","-30.246330260","-4.557844162","-34.490463260"
"2502","at a draught","41","-5.093146324","-4.758901119","47.182651520"
"2504","at a glance","43","-24.294065480","8.045191765","-17.566743850"
"2506","at all","42","12.167430880","46.854290010","-6.663845062"
"2508","at all hours","22","-36.853530880","17.998184200","-20.278289790"
"2510","at a loss","10","17.037988660","29.086513520","6.826014996"
"2512","at a loss for words","80","17.250431060","29.071067810","7.740162373"
"2514","at a low ebb","32","-3.438336372","-24.924766540","21.589420320"
"2516","at a moment's notice","43","-32.214046480","10.439089780","-23.909288410"
"2518","at any given moment","22","-34.059276580","16.512039180","-20.865648270"
"2520","at a pinch","1","-0.247528762","-0.110570937","8.046829224"
"2522","at arm's length","18","-21.243539810","-8.266299248","-48.625846860"
"2524","at a stand","68","-38.879104610","-5.229753494","18.419166560"
"2526","at bay","18","-20.654684070","-9.220903397","-47.188583370"
"2528","at bottom","34","-13.824010850","-11.313252450","-6.258548260"
"2530","at cross-purposes","69","-2.630220175","14.062299730","-29.202480320"
"2532","at death's door","3","-23.310935970","26.954980850","23.542663570"
"2534","at each other's throats","69","9.100255013","-39.861927030","4.070669174"
"2536","at first","51","-22.509231570","13.371985440","-9.207498550"
"2538","at first blush","43","-22.453723910","12.278379440","-10.807814600"
"2540","at full tilt","85","-30.901971820","-6.274492741","-28.174951550"
"2542","at home","70","-10.651606560","33.823974610","7.557862759"
"3139","at large","83","-3.120294571","-27.323560710","-12.515101430"
"2544","at last","38","-19.078424450","23.498966220","-23.286384580"
"2546","at latter Lammas","64","-22.420101170","25.279096600","-21.331617360"
"2548","at long last","38","-19.417301180","23.577301030","-22.518735890"
"2550","at loose ends","10","-7.911078930","-11.450999260","-50.049907680"
"2552","at odds","69","-2.370829821","13.964447980","6.522691250"
"2554","atomic cocktail","41","-1.713393092","-4.802980423","51.007076260"
"2556","at one's feet","9","-8.671619415","-37.616790770","-20.147342680"
"2558","at one's fingertips","43","-29.894477840","13.520699500","-27.572765350"
"2560","at pains","49","-18.656332020","-23.566495900","28.962091450"
"2562","at peace","58","-40.785160060","2.273369551","15.758345600"
"2564","at peace with","27","-40.232341770","2.640278816","16.333450320"
"2566","at places","88","-10.179845810","37.583522800","-2.263249159"
"2568","at rack and manger","24","-25.657388690","-30.655164720","26.971361160"
"2570","at rest","58","-41.690063480","2.039668798","14.662416460"
"2572","at sea","10","-12.172809600","-12.543827060","-12.394349100"
"2574","at sixes and sevens","10","-14.762531280","48.031188960","16.053588870"
"2576","at someone's disposal","71","-10.722529410","-25.028850560","-41.011344910"
"2578","at someone's door","71","-10.875928880","-34.473598480","-25.041906360"
"2580","at stake","33","-6.205328941","-15.045188900","-10.683492660"
"2582","attaboy","17","25.810842510","19.879547120","20.443502430"
"2584","attagal","15","-45.899261470","-6.133930206","-1.011910319"
"2586","atta girl","85","26.046302800","19.554517750","22.543697360"
"2588","attagirl","23","25.450359340","20.128427510","22.354600910"
"2590","attakid","85","27.612602230","18.791427610","22.440940860"
"2592","attention whore","74","2.318752050","31.628959660","23.830986020"
"2594","at that","47","15.776612280","26.260759350","-15.542280200"
"2596","at the best of times","1","-21.709835050","27.412269590","-17.540185930"
"2598","at the coal face","49","-1.525861979","-12.348730090","0.695076525"
"2600","at the disposal of","71","-10.182527540","-24.584043500","-41.329330440"
"2602","at the door of","71","-11.254938130","-33.600685120","-24.118844990"
"2604","at the drop of a hat","43","-32.602745060","8.843174934","-23.982044220"
"2606","at the end of the day","38","-16.963682170","21.388624190","-24.062479020"
"2608","at the expense of","79","11.361873630","-15.277612690","0.242032379"
"2610","at the feet of","71","-8.311635017","-37.835437770","-20.921649930"
"2612","at the helm","9","-23.914892200","-7.816632271","3.592433214"
"2614","at the high port","53","-27.150527950","-12.019512180","16.469953540"
"2616","at the last minute","22","-22.889358520","24.474737170","-24.929674150"
"2618","at the mercy of","9","-6.935574055","-5.616415501","10.000698090"
"2620","at the ready","43","-31.487472530","11.285604480","-25.452581410"
"2622","at the receiving end","71","-13.381430630","18.466709140","-18.593503950"
"2624","at the top of one's lungs","85","19.231670380","-12.425230030","-21.928403850"
"2626","at the very least","21","14.544820790","45.633457180","-8.449730873"
"2628","at the very most","7","15.613348960","46.292388920","-9.054627419"
"2630","at the wheel","9","-22.685466770","-8.048993111","2.552915812"
"2632","at this point in time","22","-28.660324100","19.418272020","-12.265970230"
"2634","Attic salt","26","28.785055160","13.638971330","-21.282228470"
"2636","at times","22","-22.967386250","27.952808380","-16.890336990"
"2638","at variance","69","-1.663459420","14.396698950","6.216508865"
"2640","at will","7","3.430096149","-27.203439710","-17.210058210"
"2642","Augean stables","49","-16.783046720","-16.317659380","34.227359770"
"2644","auld lang syne","64","-33.595966340","26.191633220","-2.862056017"
"2646","autem cackler","35","15.628060340","-52.678112030","1.269269347"
"2648","autem dipper","77","14.392143250","-52.717094420","0.097115986"
"2650","autem diver","25","14.869192120","-52.499237060","-0.476435512"
"2652","autem mort","3","-23.326314930","21.658784870","22.663320540"
"2654","autumn romance","64","-21.331956860","42.370922090","9.771327019"
"2656","avant la lettre","51","-28.491662980","16.725877760","-1.365843058"
"2658","average bear","40","17.140131000","33.684162140","28.062585830"
"2660","average joe","40","15.949316020","32.120025630","27.709114070"
"2662","average up","59","6.916159630","-7.613469124","-47.209747310"
"2664","away game","88","-11.212353710","30.337574010","3.763427973"
"2666","away with the fairies","83","-15.857419010","16.150884630","9.586309433"
"2668","a week from next Tuesday","22","-33.183647160","27.272392270","-16.924869540"
"2670","a week is a long time in politics","64","-33.520469670","27.372201920","-14.327743530"
"2672","a wild goose never laid a tame egg","44","17.984111790","-10.262642860","13.004630090"
"2674","aye aye, sir","2","25.808401110","19.960704800","18.752258300"
"2676","babe in arms","6","34.487407680","19.015525820","27.789752960"
"2678","babe in the woods","14","33.651195530","19.035415650","29.172819140"
"2680","babe magnet","23","34.454654690","17.628206250","28.827625270"
"2682","babies in the eyes","20","34.015125270","20.430871960","28.673477170"
"2684","baby elephant in the room","18","46.652400970","5.024833679","-28.437110900"
"2686","babysitter test","40","-11.770472530","-13.176501270","-33.724227910"
"2688","baby up","59","42.138118740","0.768918812","2.134304047"
"2690","back-cloth star","23","-5.647185326","41.103904720","18.037471770"
"2692","back at you","55","11.557145120","-1.548393011","-0.503903985"
"2694","back-burner","55","-48.219024660","-4.496759415","-5.727198601"
"2696","back down","54","-9.801798820","-28.233615880","8.715057373"
"2698","back forty","88","-50.505718230","0.914424062","-6.267817020"
"2700","back gammon player","74","36.359916690","-4.182210445","-3.936163425"
"2702","backhanded compliment","4","30.755125050","14.119403840","39.771450040"
"2704","back in","55","-44.490707400","-0.278138548","-12.851120000"
"2706","back in the day","64","-32.924377440","22.880113600","-3.907162905"
"2708","back in the game","55","-45.057441710","-0.163326889","-14.583834650"
"2710","back into","55","-46.372360230","-1.411674380","-11.807525630"
"2712","back off","31","-16.914413450","-9.830127716","7.337105274"
"2714","back office","88","-15.185114860","-3.402095079","4.294509888"
"2716","back of one's hand","40","18.172351840","-26.095766070","-12.633679390"
"2718","back-of-the-envelope","26","1.997216702","22.265356060","-32.706340790"
"2720","back-patty","61","19.238815310","16.128412250","5.594781876"
"2722","backpedal","55","-45.276359560","-5.208869934","-11.411681180"
"2724","back-pocket","5","18.110212330","-23.769514080","-15.319354060"
"2726","back-to-back-to-back","45","-31.458137510","32.555892940","-18.094430920"
"2728","back to square one","55","-37.806240080","-3.206762075","-12.995374680"
"2730","back to the drawing board","55","-38.639606480","-3.464238882","-15.449624060"
"2732","back to the wall","1","-7.560918808","-3.670912743","23.235370640"
"2734","back up","55","-47.024959560","-7.553075314","-10.393795010"
"2736","back up the truck","59","-47.464740750","-8.434826851","-10.298627850"
"2738","backwater","88","-48.198028560","0.354806006","-7.226834297"
"3141","bacon-faced","4","38.008277890","-25.547677990","5.747639179"
"3143","bacon-fed","41","37.181644440","-25.183090210","6.013875008"
"2740","bad actor","74","24.097604750","4.801948071","29.701519010"
"2742","bad apple","74","22.478963850","6.018237114","31.296655650"
"2744","bad blood","6","-1.919584274","46.454109190","10.788421630"
"2746","bad company","60","24.012420650","8.222328186","33.819309230"
"2748","bad egg","14","24.255189900","6.987623215","30.103950500"
"2750","badge bunny","23","35.937587740","16.204616550","29.399072650"
"2752","badge of honor","0","18.643424990","11.457908630","4.343658924"
"2754","bad hair day","60","-5.430603027","17.408515930","21.782157900"
"2756","bad iron","60","9.242657661","1.537258148","34.457496640"
"2758","bad joke","60","27.182641980","2.972130775","14.155833240"
"2760","bad news","60","4.158957005","34.460838320","4.689522266"
"2762","bad old days","64","-31.328798290","24.754140850","-2.250898838"
"2764","bad penny","79","41.898063660","8.691006660","-25.730800630"
"2766","bad taste in one's mouth","4","26.056901930","-28.732948300","11.811132430"
"2768","bad trot","75","-23.285219190","-16.937707900","33.747726440"
"2770","bad word","2","29.467149730","7.247797966","18.706125260"
"2772","bag of bones","60","19.339323040","-1.139366150","46.970722200"
"2774","bag of tricks","26","12.034266470","16.187299730","-2.418706417"
"2776","bail out","81","-7.663529396","-21.827203750","-3.117828369"
"2778","baker's dozen","26","26.298374180","14.760158540","-29.081964490"
"2780","baker's half dozen","26","25.579893110","13.966192250","-29.580547330"
"2782","bake up","59","11.876068120","-9.764712334","-9.356287003"
"2784","balance out","69","18.075443270","-2.364279032","-33.575210570"
"2786","balance the books","69","17.960618970","-3.261088371","-33.909626010"
"2788","balancing act","69","-6.153154373","-32.463283540","26.035303120"
"2790","bale up","5","-8.377418518","-23.304189680","-2.926130533"
